"mz","rt","mca_1_l_d2o","mca_1_l_h2o","mca_1_p_d2o","mca_1_p_h2o","mca_12_l_d2o","mca_12_l_h2o","mca_12_p_d2o","mca_12_p_h2o","mca_13_l_d2o","mca_13_l_h2o","mca_13_p_d2o","mca_13_p_h2o","mca_3_l_d2o","mca_3_l_h2o","mca_3_p_d2o","mca_3_p_h2o"
"143","75",252044.479844971,247688.041066406,102101.034604868,89536.450190625,125213.046113281,125365.882816772,118522.282987651,130007.722648738,183751.481490653,255305.860816978,70877.0209004974,87216.3290884165,232224.376657774,227031.205172025,147339.572947049,104985.852421875
"144","2786",330756.93645312,353842.237150393,316262.796743957,313836.135183596,422447.199409029,409715.56205141,408994.489188507,401564.183618951,309918.282497479,315714.617968746,309466.276224791,305217.871780499,320567.653956652,300339.203120112,432781.539556451,312396.865282264
"144.1","179",81840.8672320313,49414.2552793213,2773.64396256186,21836.9058313543,8409.43280684999,6451.81513573419,5947.88688971414,4132.08690695692,48828.6448394306,4572.61439600095,4077.08533887678,44421.6003023438,39065.7272021484,135271.579488135,11994.3762189274,39045.1674042544
"144.1","49",19202.0767356818,7621.51021495202,859626.744087102,6669.9779797699,3578.7067849264,1644.06516308518,3787.11045166141,12250.3200334235,50602.3392530169,13914.2022717151,43069.6712682575,46098.2817585937,42899.5938001465,52792.2285019531,1298924.35531793,70140.8089281464
"145","51",233877.891252629,276991.516592173,474500.266896761,110082.520058382,368583.602414972,317269.785457241,186672.274164258,166144.676119309,137392.947940869,190825.753229297,28021.3648434057,39180.2633558435,174409.048954327,164398.854686279,937388.521032715,21805.0657497405
"146","2782",75177.7419276116,85424.6382287597,64293.4964988275,65005.7971788026,92408.5778621435,86166.0065559891,80933.3140621954,79812.6073294489,62687.8100091536,66220.3470394136,61556.7499757805,60114.5374612055,67326.7095268077,63635.3823629877,101983.065451388,63905.7692950439
"146.1","48",91739.474928912,87917.011559143,153998.233734809,88083.6658437815,53527.2498438439,46574.381120402,39562.8049154663,50012.920926123,127557.125291602,62767.9048075103,28473.0497225189,215013.810200977,89607.2178314887,280200.499242517,410402.633198242,105241.705685394
"147","481",1475944.70034374,1807076.52409375,276247.839762932,303793.86579241,1850320.64831249,3046147.18362499,253734.788125,325271.271964845,1802054.5099375,1921273.04637931,10080.3123137425,378000.788964844,1607415.44884375,1999113.1444375,330111.243464844,363407.619698275
"147","397",1861394.62048295,2165816.35227273,266903.847391662,307418.151523437,1458677.86582721,2222741.08903951,198703.280808105,235667.351405101,3000063.226875,3576864.47777344,21553.3821533153,544205.533775202,2410646.56846436,3321243.69329504,377421.568727678,408053.466985887
"147","652",429102.788333332,517948.574085287,61528.9515281808,71575.8225848569,483579.829840746,799792.02721154,184731.130508204,93280.201231641,582015.383491588,593851.375709132,6263.78958050045,222696.897234374,491845.177309027,683235.083960334,100549.918139063,79989.7064711047
"147.1","47",1123766.26002781,925694.591265564,93384.8129408046,17901595.3550026,406487.456386524,439502.97237583,310016.025437256,440364.472207876,872962.176527253,6159647.70302903,773506.348990691,29143041.6538591,646509.454096308,448251.989264831,113600.44220074,11837988.8749536
"148.1","47",1746126.64161924,1920376.93728378,59082.8444475011,1373665.42774531,1523866.33390812,1469093.31143097,433955.991112061,625098.466815491,852824.458631974,1641399.71304964,69830.4914142609,1896754.89735829,1177040.0947928,684434.390128784,86640.8356099925,856932.638627293
